State,PHN_code,PHN_name,Reporting_Year,Age_group,Registered_children,Fully_immunised,Not_fully_immunised,Percent_fully_immunised
QLD,PHN304,Darling Downs and West Moreton,2014-15,5 years,664,619,45,93.2
QLD,PHN305,Western Queensland,2014-15,5 years,355,331,24,93.4
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2014-15,5 years,749,664,85,88.7
QLD,PHN307,Northern Queensland,2014-15,5 years,1884,1790,94,95
SA,PHN401,Adelaide,2014-15,5 years,386,344,42,89.2
SA,PHN402,Country SA,2014-15,5 years,350,317,33,90.5
WA,PHN501,Perth North,2014-15,5 years,329,290,39,88.3
WA,PHN502,Perth South,2014-15,5 years,420,363,57,86.5
WA,PHN503,Country WA,2014-15,5 years,1166,1100,66,94.3
TAS,PHN601,Tasmania,2014-15,5 years,419,388,31,92.6
NT,PHN701,Northern Territory,2014-15,5 years,1333,1266,67,95
ACT,PHN801,Australian Capital Territory,2014-15,5 years,122,116,6,95.1
NSW,PHN101,Central and Eastern Sydney,2013-14,1 year,232,205,27,88.5
NSW,PHN102,Northern Sydney,2013-14,1 year,NP,NP,NP,85.3
NSW,PHN103,Western Sydney,2013-14,1 year,234,195,39,83.2
NSW,PHN104,Nepean Blue Mountains,2013-14,1 year,202,175,27,86.6
NSW,PHN105,South Western Sydney,2013-14,1 year,291,247,44,84.7
NSW,PHN106,South Eastern NSW,2013-14,1 year,449,399,50,88.7
NSW,PHN107,Western NSW,2013-14,1 year,859,740,119,86.2
NSW,PHN108,Hunter New England and Central Coast,2013-14,1 year,1443,1309,134,90.7
NSW,PHN109,North Coast,2013-14,1 year,642,548,94,85.3
NSW,PHN110,Murrumbidgee,2013-14,1 year,261,230,31,88.1
VIC,PHN201,North Western Melbourne,2013-14,1 year,231,200,31,86.6
VIC,PHN202,Eastern Melbourne,2013-14,1 year,131,110,21,83.9
VIC,PHN203,South Eastern Melbourne,2013-14,1 year,128,113,15,88.4
VIC,PHN204,Gippsland,2013-14,1 year,104,90,14,86.5
VIC/NSW,PHN205,Murray,2013-14,1 year,352,297,55,84.4
VIC,PHN206,Western Victoria,2013-14,1 year,175,154,21,88
QLD,PHN301,Brisbane North,2013-14,1 year,451,391,60,86.7
QLD,PHN302,Brisbane South,2013-14,1 year,529,455,74,86.1
QLD,PHN303,Gold Coast,2013-14,1 year,175,154,21,88.2
QLD,PHN304,Darling Downs and West Moreton,2013-14,1 year,727,634,93,87.2
QLD,PHN305,Western Queensland,2013-14,1 year,337,287,50,85.2
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,1 year,834,702,132,84.2
QLD,PHN307,Northern Queensland,2013-14,1 year,2004,1733,271,86.5
SA,PHN401,Adelaide,2013-14,1 year,417,327,90,78.4
SA,PHN402,Country SA,2013-14,1 year,374,303,71,81
WA,PHN501,Perth North,2013-14,1 year,329,244,85,74
WA,PHN502,Perth South,2013-14,1 year,420,323,97,77
WA,PHN503,Country WA,2013-14,1 year,1200,1054,146,87.8
TAS,PHN601,Tasmania,2013-14,1 year,414,360,54,87
NT,PHN701,Northern Territory,2013-14,1 year,1458,1304,154,89.4
ACT,PHN801,Australian Capital Territory,2013-14,1 year,125,112,13,89.6
NSW,PHN101,Central and Eastern Sydney,2013-14,2 years,199,178,21,89.5
NSW,PHN102,Northern Sydney,2013-14,2 years,NP,NP,NP,NP
NSW,PHN103,Western Sydney,2013-14,2 years,236,209,27,88.5
NSW,PHN104,Nepean Blue Mountains,2013-14,2 years,190,177,13,92.8
NSW,PHN105,South Western Sydney,2013-14,2 years,248,225,23,90.6
NSW,PHN106,South Eastern NSW,2013-14,2 years,464,419,45,90.3
NSW,PHN107,Western NSW,2013-14,2 years,844,779,65,92.3
NSW,PHN108,Hunter New England and Central Coast,2013-14,2 years,1364,1272,92,93.2
NSW,PHN109,North Coast,2013-14,2 years,604,553,51,91.6
NSW,PHN110,Murrumbidgee,2013-14,2 years,259,239,20,92.3
VIC,PHN201,North Western Melbourne,2013-14,2 years,177,155,22,87.6
VIC,PHN202,Eastern Melbourne,2013-14,2 years,115,104,11,90.4
VIC,PHN203,South Eastern Melbourne,2013-14,2 years,117,108,9,92.3
VIC,PHN204,Gippsland,2013-14,2 years,NP,NP,NP,94.7
VIC/NSW,PHN205,Murray,2013-14,2 years,330,297,33,90
VIC,PHN206,Western Victoria,2013-14,2 years,148,140,8,94.6
QLD,PHN301,Brisbane North,2013-14,2 years,432,404,28,93.5
QLD,PHN302,Brisbane South,2013-14,2 years,545,507,38,93
QLD,PHN303,Gold Coast,2013-14,2 years,188,178,10,94.6
QLD,PHN304,Darling Downs and West Moreton,2013-14,2 years,657,595,62,90.6
QLD,PHN305,Western Queensland,2013-14,2 years,378,362,16,95.7
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,2 years,745,685,60,91.9
QLD,PHN307,Northern Queensland,2013-14,2 years,1935,1816,119,93.9
SA,PHN401,Adelaide,2013-14,2 years,420,357,63,85
SA,PHN402,Country SA,2013-14,2 years,381,330,51,86.6
WA,PHN501,Perth North,2013-14,2 years,316,264,52,83.5
WA,PHN502,Perth South,2013-14,2 years,463,405,58,87.6
WA,PHN503,Country WA,2013-14,2 years,1179,1118,61,94.8
TAS,PHN601,Tasmania,2013-14,2 years,417,387,30,92.8
NT,PHN701,Northern Territory,2013-14,2 years,1395,1339,56,96
ACT,PHN801,Australian Capital Territory,2013-14,2 years,113,107,6,94.7
NSW,PHN101,Central and Eastern Sydney,2013-14,5 years,202,173,29,85.8
NSW,PHN102,Northern Sydney,2013-14,5 years,NP,NP,NP,100
NSW,PHN103,Western Sydney,2013-14,5 years,208,192,16,92.2
NSW,PHN104,Nepean Blue Mountains,2013-14,5 years,166,155,11,93.5
NSW,PHN105,South Western Sydney,2013-14,5 years,260,245,15,94.5
NSW,PHN106,South Eastern NSW,2013-14,5 years,342,322,20,94.2
NSW,PHN107,Western NSW,2013-14,5 years,688,635,53,92.3
NSW,PHN108,Hunter New England and Central Coast,2013-14,5 years,1181,1126,55,95.3
NSW,PHN109,North Coast,2013-14,5 years,575,542,33,94.3
NSW,PHN110,Murrumbidgee,2013-14,5 years,225,208,17,92.1
VIC,PHN201,North Western Melbourne,2013-14,5 years,170,152,18,89.8
VIC,PHN202,Eastern Melbourne,2013-14,5 years,96,87,9,90.5
VIC,PHN203,South Eastern Melbourne,2013-14,5 years,NP,NP,NP,98.1
VIC,PHN204,Gippsland,2013-14,5 years,101,95,6,94
VIC/NSW,PHN205,Murray,2013-14,5 years,304,277,27,91.1
VIC,PHN206,Western Victoria,2013-14,5 years,146,132,14,90.4
QLD,PHN301,Brisbane North,2013-14,5 years,379,364,15,96
QLD,PHN302,Brisbane South,2013-14,5 years,517,479,38,92.6
QLD,PHN303,Gold Coast,2013-14,5 years,163,156,7,95.7
QLD,PHN304,Darling Downs and West Moreton,2013-14,5 years,659,611,48,92.6
QLD,PHN305,Western Queensland,2013-14,5 years,356,324,32,91.2
QLD,PHN306,"Central Queensland, Wide Bay and Sunshine Coast",2013-14,5 years,661,613,48,92.7
QLD,PHN307,Northern Queensland,2013-14,5 years,1930,1830,100,94.8
SA,PHN401,Adelaide,2013-14,5 years,418,356,62,85.2
SA,PHN402,Country SA,2013-14,5 years,363,322,41,88.6
WA,PHN501,Perth North,2013-14,5 years,337,277,60,82.1
WA,PHN502,Perth South,2013-14,5 years,435,387,48,89
WA,PHN503,Country WA,2013-14,5 years,1163,1099,64,94.5
TAS,PHN601,Tasmania,2013-14,5 years,412,382,30,92.7
NT,PHN701,Northern Territory,2013-14,5 years,1346,1287,59,95.6
ACT,PHN801,Australian Capital Territory,2013-14,5 years,94,88,6,93.6
NSW,PHN101,Central and Eastern Sydney,2012-13,1 year,201,169,32,83.7
NSW,PHN102,Northern Sydney,2012-13,1 year,NP,NP,NP,NP
NSW,PHN103,Western Sydney,2012-13,1 year,234,192,42,82.2
NSW,PHN104,Nepean Blue Mountains,2012-13,1 year,162,142,20,87.8
NSW,PHN105,South Western Sydney,2012-13,1 year,245,210,35,85.8
NSW,PHN106,South Eastern NSW,2012-13,1 year,449,375,74,83.5
